,Order,Family,Genus,species,tree.name,female2n,male2n,B.chromosomes,sex.chromosome.system,notes..comments,hapauto,codedSCS,Source,Study
186,Artiodactyla,Cervidae,Mazama,gouazoubira,Mazama_gouazoubira,70,70,yes,XY,,34,unfused,Animal Karyotype Book 2020,Proskuryakova and Yang (Unpublished)
194,Artiodactyla,Cervidae,Odocoileus,hemionus,Odocoileus_hemionus,70,70,,XY,,34,unfused,Blackmon,
195,Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus_virginianus,70,70,,XY,,34,unfused,Blackmon,Duarte (Unpublished)
197,Artiodactyla,Cervidae,Pudu,puda,Pudu_puda,70,70,,XY,,34,unfused,Blackmon,Spotorno and Fernandez-Donoso 1975
198,Artiodactyla,Cervidae,Rangifer,tarandus,Rangifer_tarandus,70,70,,XY,,34,unfused,Blackmon,CRES San Diego (Unpublished)
889,Primates,Cercopithecidae,Cercopithecus,nictitans,Cercopithecus_nictitans,70,70,,XY,,34,unfused,Animal Karyotype Book,Ponsa and Eqozcue 1981
1172,Rodentia,Cricetidae,Oecomys,paricola,Oecomys_paricola,70,70,,XY,,34,unfused,Animal Karyotype Book 2020,Rosa et al. 2012
1265,Rodentia,Geomyidae,Geomys,attwateri,Geomys_attwateri,70,70,,XY,,34,unfused,Animal Karyotype Book,Smolen and Bickham 1994
1279,Rodentia,Heteromyidae,Dipodomys,graviceps,Dipodomys_graviceps,70,70,,XY,,34,unfused,Blackmon,
1290,Rodentia,Heteromyidae,Dipodomys,stephensi,Dipodomys_stephensi,70,70,,XY,,34,unfused,Blackmon,
158,Artiodactyla,Cervidae,Alces,alces,Alces_alces,68,68,,XY,,33,unfused,Blackmon,Graphodatsky (Unpublished)
160,Artiodactyla,Cervidae,Axis,calamianensis,Axis_calamianensis,68,68,,XY,,33,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
161,Artiodactyla,Cervidae,Axis,kuhlii,Axis_kuhlii,68,68,,XY,,33,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
166,Artiodactyla,Cervidae,Cervus,elaphus,Cervus_elaphus,68,68,,XY,,33,unfused,Blackmon,
167,Artiodactyla,Cervidae,Cervus,elaphus bactrianus,Cervus_elaphus bactrianus,68,68,,XY,,33,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
168,Artiodactyla,Cervidae,Cervus,elaphus sibiricus,Cervus_elaphus sibiricus,68,68,,XY,,33,unfused,Animal Karyotype Book,Graphodatsky (Unpublished)
176,Artiodactyla,Cervidae,Dama,dama,Dama_dama,68,68,,XY,,33,unfused,Blackmon,
177,Artiodactyla,Cervidae,Dama,mesopotamica,Dama_mesopotamica,68,68,,XY,,33,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
180,Artiodactyla,Cervidae,Elaphurus,davidianus,Elaphurus_davidianus,68,68,,XY,,33,unfused,Blackmon,
196,Artiodactyla,Cervidae,Ozotocerus,bezoarticus,Ozotocerus_bezoarticus,68,68,,XY,,33,unfused,Animal Karyotype Book 2020,Duarte and Giannoni 1995b
717,Eulipotyphla,Soricidae,Notiosorex,crawfordi,Notiosorex_crawfordi,68,68,,XY,,33,unfused,Blackmon,
776,Lagomorpha,Ochotonidae,Ochotona,princeps,Ochotona_princeps,68,68,,XY,,33,unfused,Animal Karyotype Book,Stock 1976
1171,Rodentia,Cricetidae,Oecomys,paricola,Oecomys_paricola,68,68,,XY,,33,unfused,Animal Karyotype Book 2020,Rosa et al. 2012
1341,Rodentia,Muridae,Lophuromys,brevicaudus,Lophuromys_brevicaudus,68,68,,XY,,33,unfused,Animal Karyotype Book,Aniskin et al. 1997a
1418,Rodentia,Ochotonidae,Ochotona,princeps,Ochotona_princeps,68,68,,XY,,33,unfused,Blackmon,
1467,Scandentia,Tupaiidae,Tupaia,montana,Tupaia_montana,68,68,,XY,,33,unfused,Blackmon,
159,Artiodactyla,Cervidae,Axis,axis,Axis_axis,66,66,,XY,,32,unfused,Blackmon,
162,Artiodactyla,Cervidae,Blastocerus,dichotomus,Blastocerus_dichotomus,66,66,,XY,,32,unfused,Animal Karyotype Book 2020,Duarte and Giannoni 1995a
165,Artiodactyla,Cervidae,Cervus,albirostris,Cervus_albirostris,66,66,,XY,,32,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
174,Artiodactyla,Cervidae,Cervus,nippon,Cervus_nippon,66,66,,XY,,32,unfused,Animal Karyotype Book 2020,Huang et al. 2006a
169,Artiodactyla,Cervidae,Cervus,nippon hortulorum,Cervus_nippon hortulorum,66,66,,XY,,32,unfused,Animal Karyotype Book,Graphodatsky (Unpublished)
170,Artiodactyla,Cervidae,Cervus,nippon mandarinus,Cervus_nippon mandarinus,66,66,,XY,,32,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
260,Carnivora,Canidae,Urocyon,cinereoargenteus,Urocyon_cinereoargenteus,66,66,,XY,,32,unfused,Blackmon,Wayne et al. 1987a
801,Perissodactyla,Equidae,Equus,prewalskii,Equus_prewalskii,66,66,,XY,,32,unfused,Animal Karyotype Book,Yang et al. 2003b
794,Perissodactyla,Equidae,Equus,asinus somaliensis,Equus_asinus somaliensis,NA,62-64,,XY,,32,unfused,Atlas of Mammalian Chromosomes,Houck et al. 1998
883,Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus_ascanius,66,66,,XY,,32,unfused,Blackmon,
884,Primates,Cercopithecidae,Cercopithecus,ascanius schmidti,Cercopithecus_ascanius schmidti,66,66,,XY,,32,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
885,Primates,Cercopithecidae,Cercopithecus,cephus,Cercopithecus_cephus,66,66,,XY,,32,unfused,Blackmon,Clemente et al. 1990
888,Primates,Cercopithecidae,Cercopithecus,mona campbell,Cercopithecus_mona campbell,66,66,,XY,,32,unfused,Animal Karyotype Book,Clemente et al. 1990
890,Primates,Cercopithecidae,Cercopithecus,petaurista,Cercopithecus_petaurista,66,66,,XY,,32,unfused,Animal Karyotype Book,Clemente et al. 1990
908,Primates,Cheirogaleidae,Microcebus,murinus,Microcebus_murinus,66,66,,XY,,32,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
993,Rodentia,Caviidae,Hydrochoeris,hydrochaeris,Hydrochoeris_hydrochaeris,66,66,,XY,,32,unfused,Blackmon,CRES San Diego (Unpublished)
1173,Rodentia,Cricetidae,Oligoryzomys,flavescens,Oligoryzomys_flavescens,66,66,,XY,,32,unfused,Animal Karyotype Book,Aniskin and Volobouev 1999
1299,Rodentia,Hystricidae,Hystrix,indica,Hystrix_indica,66,66,,XY,,32,unfused,Animal Karyotype Book 2020,Romanenko (Unpublished)
1468,Scandentia,Tupaiidae,Tupaia,minor,Tupaia_minor,66,66,,XY,,32,unfused,Animal Karyotype Book 2020,Dumas et al. 2012
253,Carnivora,Canidae,Fennecus,zerda,Fennecus_zerda,64,64,,XY,,31,unfused,Animal Karyotype Book,Graphodatsky et al. 2008
357,Carnivora,Mustelidae,Spilogale,putorius,Spilogale_putorius,64,64,,XY,,31,unfused,Blackmon,
358,Carnivora,Mustelidae,Spilogale,putorius interrupta,Spilogale_putorius interrupta,64,64,,XY,,31,unfused,Animal Karyotype Book,Benirschke 1969
628,Cingulata,Dasypodidae,Dasypus,hybridus,Dasypus_hybridus,64,64,,XY,,31,unfused,Animal Karyotype Book,Jorge et al. 1977
629,Cingulata,Dasypodidae,Dasypus,novemcinctus,Dasypus_novemcinctus,64,64,,XY,,31,unfused,Blackmon,Jorge et al. 1977
630,Cingulata,Dasypodidae,Dasypus,septemcinctus,Dasypus_septemcinctus,64,64,,XY,,31,unfused,Animal Karyotype Book,Barroso and Seuanez 1991
796,Perissodactyla,Equidae,Equus,caballus,Equus_caballus,64,64,,XY,,31,unfused,Blackmon,Bowling et al. 1997
820,Pilosa,Cyclopedidae,Cyclopes,didactylus,Cyclopes_didactylus,64,64,,XY,,31,unfused,Animal Karyotype Book,Jorge 2000
977,Rodentia,Abrocomidae,Abrocoma,bennetti,Abrocoma_bennetti,64,64,,XY,,31,unfused,Animal Karyotype Book,Spotorno et al. 1995
991,Rodentia,Caviidae,Cavia,porcellus,Cavia_porcellus,64,64,,XY,,31,unfused,Blackmon,Romanenko et al. 2015
994,Rodentia,Caviidae,Cavia,tschudii,Cavia_tschudii,64,64,,XY,,31,unfused,Animal Karyotype Book 2020,Romanenko (Unpublished)
992,Rodentia,Caviidae,Dolichotis,patagonum,Dolichotis_patagonum,64,64,,XY,,31,unfused,Blackmon,Romanenko (Unpublished)
995,Rodentia,Chinchillidae,Chinchilla,laniger,Chinchilla_laniger,64,64,,XY,,31,unfused,Blackmon,
1109,Rodentia,Cricetidae,Microtus,longicaudatus,Microtus_longicaudatus,64,64,,XY,,31,unfused,Blackmon,Modi 1987
1158,Rodentia,Cricetidae,Neacomys,dubosti,Neacomys_dubosti,64,64,,XY,,31,unfused,Animal Karyotype Book 2020,Da Silva et al. 2015
1174,Rodentia,Cricetidae,Oligoryzomys,flavescens,Oligoryzomys_flavescens,64,64,,XY,,31,unfused,Animal Karyotype Book 2020,Hass et al. 2008
1175,Rodentia,Cricetidae,Oligoryzomys,microtis,Oligoryzomys_microtis,64,64,,XY,,31,unfused,Animal Karyotype Book,Aniskin and Volobouev 1999
1236,Rodentia,Dasyproctidae,Dasyprocta,agouti,Dasyprocta_agouti,64,64,,XY,,31,unfused,Blackmon,
1238,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta_fuliginosa,64,64,yes,XY,,31,unfused,Animal Karyotype Book 2020,Ramos et al. 2003
1276,Rodentia,Heteromyidae,Dipodomys,deserti,Dipodomys_deserti,64,64,,XY,,31,unfused,Blackmon,
1281,Rodentia,Heteromyidae,Dipodomys,ingens,Dipodomys_ingens,64,64,,XY,,31,unfused,Blackmon,
1288,Rodentia,Heteromyidae,Dipodomys,panamintinus,Dipodomys_panamintinus,64,64,,XY,,31,unfused,Blackmon,
175,Artiodactyla,Cervidae,Cervus,elaphus,Cervus_elaphus,62,62,,XY,,30,unfused,Animal Karyotype Book 2020,Huang et al. 2006a
556,Chiroptera,Rhinolophidae,Rhinolophus,pusillus,Rhinolophus_pusillus,62,62,,XY,,30,unfused,Animal Karyotype Book 2020,Mao et al. 2007a
621,Cingulata,Chlamyphoridae,Cabassous,centralis,Cabassous_centralis,62,62,,XY,,30,unfused,Blackmon,Benirschke 1969
627,Cingulata,Chlamyphoridae,Zaedyus,pichiy,Zaedyus_pichiy,62,62,,XY,,30,unfused,Animal Karyotype Book,Jorge et al. 1977
793,Perissodactyla,Equidae,Equus,asinus,Equus_asinus,62,62,,XY,,30,unfused,Blackmon,Raudsepp and Chowdhary 1999
849,Primates,Atelidae,Brachyteles,arachnoides,Brachyteles_arachnoides,62,62,,XY,,30,unfused,Animal Karyotype Book 2020,de Oliveira et al. 2005
839,Primates,Atelidae,Lagothrix,lagotricha,Lagothrix_lagotricha,62,62,,XY,,30,unfused,Animal Karyotype Book,Stanyon et al. 2001
840,Primates,Atelidae,Lagothrix,ubericolor,Lagothrix_ubericolor,62,62,,XY,,30,unfused,Blackmon,
909,Primates,Cercopithecidae,Cercopithecus,neglectus,Cercopithecus_neglectus,62,62,,XY,,30,unfused,Animal Karyotype Book 2020,Stanyon et al.2005
921,Primates,Galagidae,Galago,crassicaudatus monteiri,Galago_crassicaudatus monteiri,62,62,,XY,,30,unfused,Blackmon,
922,Primates,Galagidae,Otolemur,crassicaudatus,Otolemur_crassicaudatus,62,62,,XY,,30,unfused,Animal Karyotype Book,Stanyon et al. 2002
955,Primates,Lorisidae,Loris,tardigradus,Loris_tardigradus,62,62,,XY,,30,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
986,Rodentia,Bathyergidae,Heliophobius,argenteocinereus,Heliophobius_argenteocinereus,62,62,,XY,,30,unfused,Animal Karyotype Book 2020,Deuve et al. 2008
1122,Rodentia,Cricetidae,Microtus,pinetorum,Microtus_pinetorum,62,62,,XY,,30,unfused,Animal Karyotype Book,Modi 1987
1127,Rodentia,Cricetidae,Microtus,socialis,Microtus_socialis,62,62,,XY,,30,unfused,Animal Karyotype Book,Lemskaya e al. 2010
1200,Rodentia,Cricetidae,Pitymys,mariae,Pitymys_mariae,62,62,,XY,,30,unfused,Blackmon,
1237,Rodentia,Dasyproctidae,Myoprocta,acouchi,Myoprocta_acouchi,62,62,,XY,,30,unfused,Blackmon,
1249,Rodentia,Echimyidae,Lonchothrix,emiliae,Lonchothrix_emiliae,62,62,,XY,,30,unfused,Animal Karyotype Book,Aniskin 1994b
1273,Rodentia,Gliridae,Glis,glis,Glis_glis,62,62,,XY,,30,unfused,Animal Karyotype Book,Graphodatsky (Unpublished)
1313,Rodentia,Muridae,Arvicanthis,ansorgei,Arvicanthis_ansorgei,62,62,,XY,,30,unfused,Animal Karyotype Book,Volobouev et al. 2002b
1314,Rodentia,Muridae,Arvicanthis,niloticus-cytotype 1A,Arvicanthis_niloticus-cytotype 1A,62,62,,XY,,30,unfused,Animal Karyotype Book,Volobouev et al. 2002b
1315,Rodentia,Muridae,Arvicanthis,niloticus-cytotype 1B,Arvicanthis_niloticus-cytotype 1B,62,62,,XY,,30,unfused,Animal Karyotype Book,Volobouev et al. 2002b
1316,Rodentia,Muridae,Arvicanthis,rufinus,Arvicanthis_rufinus,62,62,,XY,,30,unfused,Animal Karyotype Book,Volobouev et al. 2002b
1440,Rodentia,Sciuridae,Menetes,berdmorei,Menetes_berdmorei,62,62,,XY,,30,unfused,Blackmon,
1464,Scandentia,Tupaiidae,Tupaia,belangeri,Tupaia_belangeri,62,62,,XY,,30,unfused,Animal Karyotype Book,Bigoni and Stanyon (Unpublished)
1465,Scandentia,Tupaiidae,Tupaia,chinenesis,Tupaia_chinenesis,62,62,,XY,,30,unfused,Blackmon,
39,Artiodactyla,Bovidae,Aepyceros,melampus,Aepyceros_melampus,60,60,,XY,,29,unfused,Blackmon,
47,Artiodactyla,Bovidae,Bison,bison,Bison_bison,60,60,,XY,,29,unfused,Blackmon,
48,Artiodactyla,Bovidae,Bison,bonasus,Bison_bonasus,60,60,,XY,,29,unfused,Animal Karyotype Book,Graphodatsky (Unpublished)
51,Artiodactyla,Bovidae,Bos,grunniens,Bos_grunniens,60,60,,XY,,29,unfused,Animal Karyotype Book,Craphodatsky and Biltueva (Unpublished)
52,Artiodactyla,Bovidae,Bos,indicus,Bos_indicus,60,60,,XY,,29,unfused,Blackmon,
53,Artiodactyla,Bovidae,Bos,javanicus,Bos_javanicus,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
54,Artiodactyla,Bovidae,Bos,taurus,Bos_taurus,60,60,,XY,,29,unfused,Blackmon,Hayes et al. 1995
59,Artiodactyla,Bovidae,Capra,cylindricornis,Capra_cylindricornis,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
60,Artiodactyla,Bovidae,Capra,hircus,Capra_hircus,60,60,,XY,,29,unfused,Blackmon,Biltueva and Graphodatsky (Unpublished)
64,Artiodactyla,Bovidae,Capra,hircus aegagrus,Capra_hircus aegagrus,60,60,,XY,,29,unfused,Animal Karyotype Book 2020,Huang et al. 2005
63,Artiodactyla,Bovidae,Capra,hircus hircus,Capra_hircus hircus,60,60,,XY,,29,unfused,Animal Karyotype Book 2020,Biltueva and Graphodatsky (Unpublished)
61,Artiodactyla,Bovidae,Capra,ibex,Capra_ibex,60,60,,XY,,29,unfused,Blackmon,
62,Artiodactyla,Bovidae,Capra,pyrenaica hispanica,Capra_pyrenaica hispanica,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
67,Artiodactyla,Bovidae,Cephalophus,dorsalis,Cephalophus_dorsalis,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
68,Artiodactyla,Bovidae,Cephalophus,monticola,Cephalophus_monticola,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
69,Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus_niger,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
70,Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus_rufilatus,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
71,Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus_silvicultor,60,60,,XY,,29,unfused,Blackmon,CRES San Diego (Unpublished)
97,Artiodactyla,Bovidae,Hippotragus,equinus,Hippotragus_equinus,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
98,Artiodactyla,Bovidae,Hippotragus,niger,Hippotragus_niger,60,60,,XY,,29,unfused,Blackmon,CRES San Diego (Unpublished)
112,Artiodactyla,Bovidae,Oreotragus,oreotragus stevensoni,Oreotragus_oreotragus stevensoni,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
173,Artiodactyla,Cervidae,Cervus,timorensis russa,Cervus_timorensis russa,60,60,,XY,,29,unfused,Animal Karyotype Book 2020,Frohlich et al. 2017
40,Artiodactyla,Bovidae,Aepyceros,melampus petersi,Aepyceros_melampus petersi,NA,58-60,,XY,,29,unfused,Atlas of Mammalian Chromosomes,Rubes et al. 2012
324,Carnivora,Mephitidae,Spilogale,gracilis,Spilogale_gracilis,60,60,,XY,,29,unfused,Animal Karyotype Book 2020,Perelman et al. 2008
356,Carnivora,Mustelidae,Spilogale,gracilis latifrons,Spilogale_gracilis latifrons,60,60,,XY,,29,unfused,Animal Karyotype Book,Benirschke 1969
623,Cingulata,Chlamyphoridae,Chaetophractus,villosus,Chaetophractus_villosus,60,60,,XY,,29,unfused,Blackmon,Jorge et al. 1977
777,Lagomorpha,Ochotonidae,Ochotona,rufescene rufescens,Ochotona_rufescene rufescens,60,60,,XY,,29,unfused,Blackmon,
821,Pilosa,Myrmecophagidae,Myrmecophaga,tridactyla,Myrmecophaga_tridactyla,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
881,Primates,Cercopithecidae,Cercopithecus,aethiops,Cercopithecus_aethiops,60,60,,XY,,29,unfused,Blackmon,Finelli et al. 1999
887,Primates,Cercopithecidae,Cercopithecus,l'hoesti,Cercopithecus_l'hoesti,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
950,Primates,Lemuridae,Eulemur,fulvus,Eulemur_fulvus,60,60,,XY,,29,unfused,Animal Karyotype Book 2020,Muller et al. 2004
944,Primates,Lemuridae,Eulemur,fulvus sanfordi,Eulemur_fulvus sanfordi,60,60,,XY,,29,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
947,Primates,Lemuridae,Lemur,fulvus fulvus,Lemur_fulvus fulvus,60,60,,XY,,29,unfused,Blackmon,
1104,Rodentia,Cricetidae,Microtus,guentheri arm,Microtus_guentheri arm,60,60,,XY,,29,unfused,Animal Karyotype Book,Sablina et al. (Unpublished)
